234235,11.222.222/3333-23,PECE,estagio@pece.com,Av. Prof. Mello Moraes,2373,São Paulo,SP,05508-900,,2106-2400,Butantã,Jorge Risco,Diretor,Computação,Clélia,2008-04-17 12:15:01.670000000
236722,06.151.737/0001-91,Duom,jobs@duom.com.br,Armando Brussolo,154,São Paulo,SP,05048-050,--,11-4063-4895,Vila Romana,Jorge Vasquez,CTO,Desenvolvimento de software,Jorge Vasquez,2008-04-29 15:26:56.303000000
236724,00.221.199/0001-88,Aris Tecnologia Ltda,silmara@aris.com.br,Aruanã,452,Barueri,SP,06460-010,,11-4195-1444,Tamboré,2008-05-08 13:41:33.147000000
236725,90.400.888/0001-42,Santander,alebarbosa@santander.com.br,Rua Amador Bueno,474,São Paulo,SP,04012-000,,11-5635-7180,Santo Amaro,2008-05-08 23:33:28.140000000
236726,03.802.115/0001/98,ClearSale Informática Ltda,rh@clearsale.com.br,Vergueiro,3086,São Paulo,SP,04102-001,63,11-5539-5333,Vila Mariana,2008-05-08 23:34:19.660000000
236727,33.372.251/0126-77,IBM BRASIL INDÚSTRIA DE MÁQUINAS E SERVIÇOS LTDA,marinalr@br.ibm.com,TUTÓIA,1157,São Paulo,SP,04007-900,7o andar,11-2132-7798,VILA MARIANA,2008-05-09 15:59:37.010000000
236730,05.254.381/0001-59,Neolog Consultoria e Sistemas Ltda,rh@neolog.com.br,Av Engenheiro Luis Carlos Berrini,1681,São Paulo,SP,04571-011,Cj:82,11-3046-4050,BROOKLIN,ISABELLE BENETTI/ THAIS MADRIGRANO,Analista Rh,,,2008-05-12 22:30:09.370000000
236731,02.699.413/0001-31,UNEAR S.A.,rodrigo.gomensoro@unear.net,Dr. Renato Paes de Barros,717,São Paulo,SP,04531-001,sala 32,11-3089-8858,Itaim Bibi,2008-06-03 21:35:11.043000000
236732,04.125.590/0001-30,Summa Technologies do Brasil,adriane@summa-tech.com,Funchal,411,São Paulo,SP,04551-060,Cj 112,11-3055-2060,Vila Olimpia,2008-07-08 16:57:47.033000000
236733,33.482.241/0082-39,General Electric do Brasil,tais.martinez@ge.com,Av. das Naçoes Unidas,8501,Sao Paulo,SP,05425-070,,11-3067-8335,Pinheiros,2008-07-08 16:58:01.610000000
236734,49.729.718/0001-02,CHRIS CINTOS DE SEGURANÇA LTDA,lucia.gouveia@chriscintos.com.br,AV. ROBERT KENNEDY,997,SÃO PAULO,SP,04768-000,,11-5683-4700,SANTO AMARO,2008-07-08 16:58:13.437000000
236735,01.773.463/0001-59,OMNISYS ENGENHARIA LTDA,omnisys@omnisys.com.br,LOURDES,560,SÃO CAETANO DO SUL,SP,09571-470,,11-3302-1001,NOVA GERTY,2008-07-08 16:58:25.453000000
236736,08.821.745/0001-23,Certsys,stiverson.palma@certsys.com.br,Prof Lineu Prestes,2242,São Paulo,São Paulo,05508-000,Cietec - Sala 206,11-3039-8346,Cidade Universitária,Stiverson Palma,Diretor de Marketing e Vendas,Segurança da Informação,Stiverson Palma,2008-07-08 16:58:35.810000000
236737,03.280.671/0001-41,V2COM,luma@v2com.mobi,Cunha Gago,700,São Paulo,SP,05421-001,Cj 132,11-3094-3939,Pinheiros,,,,Luma Carvalho,2008-07-08 16:58:49.373000000
236738,60.933.603/0001-78,Cia. Energética de São Paulo,carlos.skilhan@cesp.com.br,av. N.S.Sabará,5312,São Paulo,SP,04447-011,esc. 33,11-5613-3825,V. Emir,2008-07-08 17:00:36.870000000
236739,01.649.273/0001-24,Arbit,dsantos@arbit.com.br,Rua Fidêncio Ramos,195,São Paulo,SP,04551-010,2º andar. Conj. 22,11-3018-3850,Vila Olímpia,Daniela Santos,Coordenadora RH,Consultoria em Tecnologia da Informação,Daniela Santos,2008-07-08 17:00:53.497000000
